key,priority,created,status,versions
JENA-2280,Major,2022-02-10T14:40:20.000+0000,Resolved, 4.3.1  4.3.2  4.4.0
JENA-2279,Critical,2022-02-07T21:25:02.000+0000,Resolved,
JENA-2278,Major,2022-02-07T16:55:04.000+0000,Closed, 4.4.0
JENA-2277,Major,2022-02-07T16:52:43.000+0000,Resolved, 4.4.0
JENA-2276,Major,2022-02-07T13:37:00.000+0000,Resolved, 4.4.0
JENA-2275,Minor,2022-02-07T01:48:06.000+0000,Closed, 3.17.0
JENA-2274,Minor,2022-02-05T17:15:06.000+0000,Resolved, 4.4.0
JENA-2273,Major,2022-02-05T14:20:16.000+0000,Resolved, 4.4.0
JENA-2272,Minor,2022-02-03T12:45:16.000+0000,Resolved, 4.4.0
JENA-2271,Major,2022-02-02T14:26:48.000+0000,Resolved, 4.4.0
JENA-2270,Minor,2022-02-02T14:03:04.000+0000,Resolved, 4.4.0
JENA-2269,Major,2022-02-02T13:49:05.000+0000,Resolved, 4.4.0
JENA-2268,Major,2022-02-02T08:54:29.000+0000,Open, 4.4.0
JENA-2267,Minor,2022-02-01T20:19:30.000+0000,Open, 4.4.0
JENA-2266,Major,2022-01-30T04:22:10.000+0000,Closed, 4.3.2
JENA-2265,Blocker,2022-01-30T01:16:57.000+0000,Closed, 4.3.2
JENA-2264,Major,2022-01-29T12:33:22.000+0000,Closed, 4.3.2
JENA-2263,Minor,2022-01-27T21:04:12.000+0000,Closed, 4.3.2
JENA-2262,Minor,2022-01-27T14:04:24.000+0000,Closed, 4.3.2
JENA-2261,Major,2022-01-25T07:34:14.000+0000,Closed, 4.3.2
JENA-2260,Minor,2022-01-25T07:06:01.000+0000,Closed, 4.3.2
JENA-2259,Major,2022-01-21T22:48:48.000+0000,Closed, 2.7.0
JENA-2258,Major,2022-01-21T07:33:58.000+0000,Closed, 4.3.2
JENA-2257,Major,2022-01-20T12:52:07.000+0000,Closed, 4.3.2
JENA-2256,Major,2022-01-19T10:43:19.000+0000,Closed, 4.3.2
JENA-2255,Major,2022-01-17T14:28:26.000+0000,Closed,
JENA-2254,Minor,2022-01-17T12:26:22.000+0000,Open,
JENA-2253,Trivial,2022-01-15T11:09:33.000+0000,Closed, 4.3.2
JENA-2252,Major,2022-01-14T15:52:14.000+0000,Closed, 4.3.2
JENA-2251,Major,2022-01-11T16:10:20.000+0000,Closed, 4.3.2
JENA-2250,Trivial,2022-01-11T02:53:31.000+0000,Closed,
